post_id,author,username,timestamp,statement,likes,reposts,replies,views,post_url,source
2102247970091753793,Nightcap,@NightcapShow_,2026-09-22 04:05:48,"The Rams show out for Aaron Donald in return and crush the Giants 28-6! ""Who's a guy in the league who can come in and do what Aaron Donald did tonight?!""",290,21,4,12699,https://x.com/NightcapShow_/status/2102247970091753793,X (Twitter)
2102274982176784448,JAKE OLIVER ELLENBOGEN,@JKBOGEN,2026-09-22 05:53:08,Absolutely insane. #Rams defense was disgusting tonight. Chris Shula stepped up big time. Aaron Donald is just different.,65,5,2,2132,https://x.com/JKBOGEN/status/2102274982176784448,X (Twitter)
2102256807934857711,Arash Markazi,@ArashMarkazi,2026-09-22 04:40:55,I asked Aaron Donald what it felt like running out of the tunnel as a player for the first time in two years.,88,7,1,5071,https://x.com/ArashMarkazi/status/2102256807934857711,X (Twitter)
2102252454960332802,Arash Markazi,@ArashMarkazi,2026-09-22 04:23:37,Matthew Stafford talks about having Aaron Donald back just as Donald walks into the press conference room.,388,9,0,15229,https://x.com/ArashMarkazi/status/2102252454960332802,X (Twitter)
2102249871315013899,SportsCenter,@SportsCenter,2026-09-22 04:13:21,"""We've seen this guy perform when he's in peak shape and when he's at his best, and I think tonight was just a glimpse of that."" JasonMcCourty reacts to Aaron Donald's first game back out of retirement",164,17,16,65160,https://x.com/SportsCenter/status/2102249871315013899,X (Twitter)
2102236499714478383,Tony,@SouthfieldOG,2026-09-22 03:20:13,"My Rams done tore them Giants up!! Davante Adams AND Aaron Donald played like they were young. Before yall start typing up ""yall played a injured team""..cut the shyt; even with New York's QB in there, he still wasn't doing anything.",0,0,0,90,https://x.com/SouthfieldOG/status/2102236499714478383,X (Twitter)
2102291015629746242,Mykell Mathieu,@MykellthePG,2026-09-22 06:56:51,Eric & Mykell break down the Rams’ 28-6 win over the New York Giants... Matthew Stafford was in control... Davante Adams showed exactly why... Aaron Donald is BACK! AD’s return brought another level... Rams defense? COMPLETE DOMINANCE.,2,1,0,63,https://x.com/MykellthePG/status/2102291015629746242,X (Twitter)
2102291225290416575,Irish NFL Show,@IrishNFLShow,2026-09-22 06:57:41,Rams win with ease on MNF but the injury news countdown now begins,0,0,0,44,https://x.com/IrishNFLShow/status/2102291225290416575,X (Twitter)
2102291125830836312,Coach Lino,@coachlino510,2026-09-22 06:57:17,Giants win if Dart plays is my hot take,0,0,0,27,https://x.com/coachlino510/status/2102291125830836312,X (Twitter)
2102291074849046945,Dax McCoy,@DaxGotFacts,2026-09-22 06:57:05,Any cornball saying the rams were dead after a week one loss in Australia is not worthy listening to,0,0,0,1,https://x.com/DaxGotFacts/status/2102291074849046945,X (Twitter)
2102291762324595048,Pablo Meseguer,@PabloMese,2026-09-22 06:59:49,"Los Rams no dieron opción alguna a los Giants. Dominaron por completo ambas trincheras, la defensa se redimió de un mal partido en Australia y la conexión Stafford-Davante brilló un partido más.",0,0,0,17,https://x.com/PabloMese/status/2102291762324595048,X (Twitter)
2102290965381923323,LA Rams Nation,@RamsNationCP,2026-09-22 06:56:39,Aaron Donald’s return helped the Rams record their highest single-game pass-rush win rate since 2022.,0,0,0,16,https://x.com/RamsNationCP/status/2102290965381923323,X (Twitter)
2102291947628925148,Ms. Kara Beanbag,@bubbyandflapo,2026-09-22 07:00:33,Davante Adams got me 39.5 points. I love him.,0,0,0,2,https://x.com/bubbyandflapo/status/2102291947628925148,X (Twitter)
2102291887680090187,SamWatchesPeak,@SamWatchesPeak,2026-09-22 07:00:19,Shoutout Davante Adams man wish he did a bit better but 40 fantasy points for me is pretty decent,0,0,0,1,https://x.com/SamWatchesPeak/status/2102291887680090187,X (Twitter)
2102291774765257144,Arash Markazi,@ArashMarkazi,2026-09-22 06:59:52,Aaron Donald made sure to spend a few moments with Rams fans after his first game in two years.,0,0,0,100,https://x.com/ArashMarkazi/status/2102291774765257144,X (Twitter)
2102291539892531520,RyoRyo719,@RyoRyo719,2026-09-22 06:58:56,"Davante Adams' best catches from 195-yard, 2-TD game | Week 2",0,0,0,1,https://x.com/RyoRyo719/status/2102291539892531520,X (Twitter)
2102291501455917347,Nelson Maldonado Jr.,@Nellyjr80,2026-09-22 06:58:47,"Giants' Jaxson Dart suffered sprained MCL vs. Rams, expected to face 2-to-4 week absence",0,0,0,0,https://x.com/Nellyjr80/status/2102291501455917347,X (Twitter)
2102291881245962564,Hype League Football,@Hype_Scan,2026-09-22 07:00:17,"Jaxson Dart's short-term fantasy value is compromised after suffering a sprained MCL, but given his strong Week 2 performance and the Giants' upcoming schedule, he remains a promising long-term prospect.",0,0,0,12,https://x.com/Hype_Scan/status/2102291881245962564,X (Twitter)
2102288150500389101,Azat TV,@azattelevision,2026-09-22 06:45:28,"Cam Skattebo is under mounting pressure as the Giants search for answers following a lopsided Week 2 defeat against the Rams. With Jaxson Dart sidelined by injury, the focus shifts to the backfield as the offense struggles to find momentum.",0,0,0,74,https://x.com/azattelevision/status/2102288150500389101,X (Twitter)
2102287116852158797,RotoLegends,@RotoLegends,2026-09-22 06:41:21,"Trent McDuffie Shuts Down Nabers. 1 INT, 4 pass breakups, 2 solo tackles. Career high in pass breakups Monday. Rams held Giants to zero TDs in 28-6. Nabers managers just watched a shutdown CB wipe out the WR1 ceiling for a week.",0,0,0,45,https://x.com/RotoLegends/status/2102287116852158797,X (Twitter)
2102282693828653171,hiro,@ahoahohiro,2026-09-22 06:23:47,"NFL Week 2 SoFiホームオープナー勝利！ Rams 28-6 Giants. Stafford: 22/31, 327yd, 4TD, 1INT. 今日の主役 Davante Adams: 8 receptions, 195yd, 2TD. そしてAD復帰。99が走って入場してきた瞬間の叫び声は凄かったです。",0,0,0,51,https://x.com/ahoahohiro/status/2102282693828653171,X (Twitter)
2102280872196210938,iBET Fantasy Sports,@iBetFantasy,2026-09-22 06:16:33,"FINAL: Rams rout Giants 28-6 as Davante Adams erupts for 8 catches, 195 yards and 2 TDs filling in for Puka Nacua. Stafford tossed 4 TD passes - Adams looks like a locked-in Week 3 DFS start.",0,0,0,57,https://x.com/iBetFantasy/status/2102280872196210938,X (Twitter)
2102277898103062783,Bmore Bets,@BmoreBets99,2026-09-22 06:04:43,"MNF FINAL. Rams 28 — Giants 6. Stafford: 327 yds, 4 TD. Davante: 195 yds, 2 TD. LA put up 481 total yards. That turned into a straight beatdown. What was more impressive — Stafford or Davante?",0,0,1,2,https://x.com/BmoreBets99/status/2102277898103062783,X (Twitter)
2102276712541085870,Ben Maller,@benmaller,2026-09-22 06:00:01,Giants hit with Dart Board? Bears Caleb Williams wins an Academy Award? Ravens Lamar Jackson is Mr. Un-Clutch? NFL star rejected $20M raise? Ben Maller Show is jabbering on FOX till 6am ET,18,9,4,1123,https://x.com/benmaller/status/2102276712541085870,X (Twitter)
2102274680535298138,Stu Jackson,@StuJRams,2026-09-22 05:51:56,"Aaron Donald's return vs. Giants a reminder of what his presence on field, in locker room means to Rams coaches, teammates and fans",23,1,0,771,https://x.com/StuJRams/status/2102274680535298138,X (Twitter)
2102272204016590991,NFL Rumors,@nflrums,2026-09-22 05:42:06,Total yards tonight: Rams Davante Adams — 195. Giants — 182,22,2,1,4763,https://x.com/nflrums/status/2102272204016590991,X (Twitter)
2102263526543052947,Connor Hughes,@Connor_J_Hughes,2026-09-22 05:07:37,"The Giants are likely looking at a 2-3, 2-4 week absence from Jaxson Dart. How will they replace him?",17,4,0,3881,https://x.com/Connor_J_Hughes/status/2102263526543052947,X (Twitter)
2102261089765351469,SNY Giants,@SNYGiants,2026-09-22 04:57:56,"Sources have confirmed to SNY that Dart did suffer a sprained MCL. From my understanding, the team is bracing for about a 2-3, 2-4 week absence from their starting quarterback. This was absolutely an avoidance of the worst-case scenario because his ACL is believed to be intact.",225,19,6,20531,https://x.com/SNYGiants/status/2102261089765351469,X (Twitter)
2102259724133515773,SNY Giants,@SNYGiants,2026-09-22 04:52:30,"Davante Adams talks about the touchdown he scored on a fade route tonight: ""I saw they were trying to double, so I was wondering what was going on with the leverage... If you're going to double, you better get over there, because we're going.""",46,0,1,6057,https://x.com/SNYGiants/status/2102259724133515773,X (Twitter)
2102257694057054657,Arbiter,@lite__work,2026-09-22 04:44:26,"NFL is trying so hard. The Rams are good/ great but good god NY is trash without Dart, was hard to watch that game",21,1,0,717,https://x.com/lite__work/status/2102257694057054657,X (Twitter)
2102241587862380875,New York Post,@nypost,2026-09-22 03:40:26,Aaron Donald's immediate reaction to Rams pummeling of Giants in return to NFL,6,2,2,12150,https://x.com/nypost/status/2102241587862380875,X (Twitter)
2102242302341079280,New York Post Sports,@nypostsports,2026-09-22 03:43:17,Aaron Donald's immediate reaction to Rams pummeling of Giants in return to NFL,0,0,0,892,https://x.com/nypostsports/status/2102242302341079280,X (Twitter)
