reaction_id,event_name,sport,event_date,video_title,video_id,video_url,channel_name,channel_id,comment_id,comment_url,comment_text,comment_author,comment_published_at,like_count,reply_count
YT2000211,"Afghanistan vs India (2026 T20I Series, Match 3)",Cricket,,Match Highlights | Afghanistan vs India | Match 03 | T20I Series 2026 | ACB | M9N1J,CJU-fIbr8Vk,https://www.youtube.com/watch?v=CJU-fIbr8Vk,Sports Central by DRM,UC-fzWbU1zavz77kP1gPPdSg,UgyEgghzwYxzOd6-O7B4AaABAg,https://www.youtube.com/watch?v=CJU-fIbr8Vk&lc=UgyEgghzwYxzOd6-O7B4AaABAg,😢,@Noor-h3v1n,2026-09-20T00:00:00Z,0,
YT2000212,Goffin vs Lajal and Maestrelli vs Guerrieri (2026 Saint-Tropez Challenger),Tennis,,Goffin Faces Lajal; Maestrelli vs Guerrieri | Saint-Tropez 2026 Day 1 Highlights,BXX1YxqXda8,https://www.youtube.com/watch?v=BXX1YxqXda8,ATP Challenger,UCT12ocLoA-sqRfs12yQM2Bg,Ugx-l2ruWKwOR19C2c14AaABAg,https://www.youtube.com/watch?v=BXX1YxqXda8&lc=Ugx-l2ruWKwOR19C2c14AaABAg,Lajal always has good fits,@mirzicd,2026-09-22T03:00:00Z,0,
YT2000213,2026 Barcelona-Catalunya Grand Prix,Formula 1,2026-06-14,Our 2026 Barcelona-Catalunya Grand Prix Race Review,0jVk2QviEog,https://www.youtube.com/watch?v=0jVk2QviEog,P1 with Matt & Tommy,UCD5jAyCSDRR5yTgswfDbK8w,UgyOmOYuCgU_PnYki_94AaABAg,https://www.youtube.com/watch?v=0jVk2QviEog&lc=UgyOmOYuCgU_PnYki_94AaABAg,"So, Mercedes have found the root causes of the failures, but can't do a quick fix. They talked about reducing the stress on the energy system. That's says to me a reduction in power. Kimi had a raging cold over the weekend, so I think he'll have a better qualifying, but Lewis will be the driver to beat, especially with another engine upgrade.",@rudevectors8018,2026-06-23T00:00:00Z,1,
YT2000214,Phoenix Mercury vs Dallas Wings (2026 WNBA),Basketball,2026-09-19,"Phoenix Mercury vs. Dallas Wings | FULL GAME HIGHLIGHTS | September 19, 2026",gmTPOM9RMxU,https://www.youtube.com/watch?v=gmTPOM9RMxU,WNBA,UCO9a_ryN_l7DIDS-VIt-zmw,UgzHpGvlKP7B4ajuLCx4AaABAg,https://www.youtube.com/watch?v=gmTPOM9RMxU&lc=UgzHpGvlKP7B4ajuLCx4AaABAg,AT🔥🔥🔥,@HoopsIsland,2026-09-22T00:00:00Z,0,
YT2000215,2026 European Athletics Championships Men’s 100m,Athletics,,"EVERY RACE - Men's 100m European Athletics Championships 2026 | Heats, Semi finals and Final",4bLPTpMw99E,https://www.youtube.com/watch?v=4bLPTpMw99E,European Athletics,UCp21zu_8Hd0w9HULooemRCA,UgwPiTfEVlCIJGrr6jd4AaABAg,https://www.youtube.com/watch?v=4bLPTpMw99E&lc=UgwPiTfEVlCIJGrr6jd4AaABAg,"rigged, got paid a bomb for the loss - jacobs",@grantyouthis1,2026-09-19T00:00:00Z,0,
YT2000216,Feng/Huang vs Gicquel/Delrue (2026 BWF World Championships Final),Badminton,,BWF World Championships 2026 | Feng/Huang (CHN) [1] vs Gicquel/Delrue (FRA) [5] | F,6ajzFh9bQmQ,https://www.youtube.com/watch?v=6ajzFh9bQmQ,BWF TV,UChh-akEbUM8_6ghGVnJd6cQ,Ugz3pulxQxYTvRQ_WEF4AaABAg,https://www.youtube.com/watch?v=6ajzFh9bQmQ&lc=Ugz3pulxQxYTvRQ_WEF4AaABAg,"I have to be honest, I really don't like this Chinese pair because they keep playing drop shot somehow and don't even want to smash when there is opportunity.",@yansenmaruli7758,2026-09-12T00:00:00Z,0,
YT2000217,Carolina Hurricanes vs Vegas Golden Knights (2026 Stanley Cup Final),Hockey,,The Wildest Stanley Cup Final in Years | Hurricanes vs. Golden Knights,ia_bIzb415w,https://www.youtube.com/watch?v=ia_bIzb415w,NHL,UCqFMzb-4AUf6WAIbl132QKA,UgzTWow6owgX8CGbi_B4AaABAg,https://www.youtube.com/watch?v=ia_bIzb415w&lc=UgzTWow6owgX8CGbi_B4AaABAg,RBA is a hall of famer no matter what. He’s already in as a player and soon to be coach. He is our  Quinneville!,@bradbengel917,2026-09-18T00:00:00Z,0,
YT2000218,Rolly Romero vs Ryan Garcia (2026 Boxing),Boxing,,Fight Highlights | Rolly Romero Stuns Ryan Garcia | Matchroom Boxing,CWUVyUtDivQ,https://www.youtube.com/watch?v=CWUVyUtDivQ,Matchroom Boxing,UC7LReVje9aPB4B6XAsXX8WQ,UgwccwaQ0tyof-KUV-d4AaABAg,https://www.youtube.com/watch?v=CWUVyUtDivQ&lc=UgwccwaQ0tyof-KUV-d4AaABAg,Good sportsmanship by Ryan there,@GO_1277,2026-09-15T00:00:00Z,0,
YT2000219,Joshua Pacio vs Mansur Malachiev (ONE Championship),MMA,,Wushu Meets Dagestani Wrestling ⚔️ Joshua Pacio 🇵🇭 vs. Mansur Malachiev 🇷🇺 | MMA Full Fight,fW2PNH4L-DU,https://www.youtube.com/watch?v=fW2PNH4L-DU,ONE Championship,UCiormkBf3jm6mfb7k0yPbKA,UgzhI5EUuskWBqYjP4V4AaABAg,https://www.youtube.com/watch?v=fW2PNH4L-DU&lc=UgzhI5EUuskWBqYjP4V4AaABAg,Where is the rematch? Why not uploading it?,@alvindgreat99,2026-09-14T00:00:00Z,0,
YT2000220,2026 Biltmore Championship,Golf,,PGA Tour Highlights | Final Round | Biltmore Championship | 2026,SwVHCOFT7Wc,https://www.youtube.com/watch?v=SwVHCOFT7Wc,PGA Tour,UCKwGZZMrhNYKzucCtTPY2Nw,Ugz1CU3RbvOh82iuBKJ4AaABAg,https://www.youtube.com/watch?v=SwVHCOFT7Wc&lc=Ugz1CU3RbvOh82iuBKJ4AaABAg,Nice ❤,@naturefood-g8b,2026-09-22T00:00:00Z,0,
