platform,source_id,source_url,source_title_or_caption,author_or_channel,sport,event_name,source_timestamp,records_collected
YouTube,3Hzb4bhs_EY,https://www.youtube.com/watch?v=3Hzb4bhs_EY,Pakw vs banw Match Highlights |Pakistan Women Win Bronze!Fatima Sana & Umme Hani Destroy Bangladesh!,Ismaeel media Talk,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,4
YouTube,2SZgoNgsLPg,https://www.youtube.com/watch?v=2SZgoNgsLPg,Fatima Sana led Pakistan SEALS Bronze MEDAL | Pakistan Women in Asian Games 2026,Sawera Pasha,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,3
YouTube,mV6H1rHu-hQ,https://www.youtube.com/watch?v=mV6H1rHu-hQ,Pakistan Women Win Bronze at Asian Games After Beating Bangladesh! | Express News,Express News,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,0
YouTube,dV2YiTytW7M,https://www.youtube.com/watch?v=dV2YiTytW7M,🔥পাকিস্তানের কাছে ৩১ রানে হার! ব্রোঞ্জও হাতছাড়া বাংলাদেশের 😱 | BAN-W vs PAK-W,BatBall,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,56
YouTube,QN9v8kIdzJ8,https://www.youtube.com/watch?v=QN9v8kIdzJ8,"Pakistan vs Bangladesh Women Asian Games Bronze Medal Highlights 2026,PAK W vs BAN W Bronze Meda",dablu news,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,0
YouTube,NAOc1-A8m3k,https://www.youtube.com/watch?v=NAOc1-A8m3k,Pakistan Women vs Bangladesh Women | Asian Games 2026 | Bronze Medal Match,Pak Sports Flix,Cricket,Pakistan vs Bangladesh (2026 Asian Games Women’s Cricket Bronze Medal Match),20260922,0
YouTube,pelhIRQssVs,https://www.youtube.com/watch?v=pelhIRQssVs,"INDIA vs JAPAN Women Asian Games 2026 Full Highlights, IND W VS JAPAN W Asian Games Final Highlight",Sports Edge Cricket,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260919,1
YouTube,mvNUZ9WMeig,https://www.youtube.com/watch?v=mvNUZ9WMeig,Full Highlights India Women Vs Japan Women  Asians Games 2026 || Ind vs Jpn,GAME HIGHLIGHTZ,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260918,5
YouTube,N2f9Dd-Kuj8,https://www.youtube.com/watch?v=N2f9Dd-Kuj8,India Women's vs Japan Women's Asian Games 2026 match highlights today.,Top Breaking News 0.2,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260918,0
YouTube,ySwBfGa5FxM,https://www.youtube.com/watch?v=ySwBfGa5FxM,India Vs Japan Women Asian Games 2026 Quarter Final Match | Smriti Brilliant Knock Highlight,CRIC P,Cricket,India vs Japan (2026 Asian Games Women’s Cricket Quarterfinal),20260916,8
